query_idx,text_hash,true_label,risk_4d,lexical_stop,I_db,I_mem,I_sec,I_dat,neighbor_entropy,mean_distance,class_consensus,conformal_set_size,rag_uncertainty,agent_label_sim,agent_confidence_sim,token_cost_proxy,loop_retry_proxy,plan_entropy,agent_disagreement
286,fc7733c85e559840d64911d4ddebd3fe9581a18d23c89983adb1dcc2a43542aa,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.102332,0.6,2,0.417001,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
287,302c1f85595999acd2480bd651e164d6a4c63299b439cf03cb0b46ec8385a7f0,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.251531,0.4,2,0.675574,play,0.7000000000000001,1200.0,0,0.96023,0.0
288,ddaef04dec17d497ff6af063502f72a48207a4afc02a410fe39cfb4e0a678cc3,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.116658,0.6,1,0.547484,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
289,07b966ef42125793850653859d88dcf5a11402bc8d7f124c7c24dca84ff42085,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.024495,0.6,2,0.393649,play,0.7000000000000001,1200.0,0,0.612602,0.0
290,5bad99cd584287859c765954cd2ddee3bc20a41e73a5b82edc32b34979582bf8,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.080382,0.6,2,0.410415,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
291,8fe033e6f5162e63a4c15187bfbb9a2e269aaaef50861f774e881caf24a4aba2,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.16341,0.6,2,0.435324,play,0.7000000000000001,1200.0,0,0.612602,0.0
292,08a8753bf7eff533adaaafef1ac4381b76821561583fc47a7575b1745d248b06,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0,0.8,1,0.267743,play,0.7000000000000001,1200.0,0,0.455486,0.0
293,ee7f2eda665d9e63a2e8d15c8dd30c82123e1fd21937ac6817c8262c49415a7e,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.17036,0.6,1,0.563595,play,0.7000000000000001,1200.0,0,0.864974,0.0
294,0a6a27d95d8631292f8c0291dd2e7fda440ab4b6980cc8d3d7208d521ce2238b,pausa,0.335667,True,0.6,0.0,0.08,0.06,-0.0,0.057555,1.0,1,0.017267,stop,0.7000000000000001,1200.0,0,-0.0,0.0
295,9954363959fe20196d514c4871085a2f5e805d6a7ca589105f7c6faf5e9224b4,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.068681,0.6,1,0.533091,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
296,299cc207ad60dd38ae6a66b3308766f6bb86d35f6711e617c6e39704a1cc6093,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.133428,0.6,1,0.552515,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
297,0eb588ffa92d8390744885e32f8c9b737562f378f6eada53b4cefe480a398faa,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.0,0.4,2,0.600115,stop,0.7000000000000001,1200.0,0,0.96023,0.0
298,6b2d268cb45906267168f1de88541cb12e32bbafdc60f633d071953c5b067fe2,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.285314,0.6,2,0.471895,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
299,16d21074d7444a05bc48046246315c7d35ef0410dffd78d79893e4e8ef4459a2,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.162971,0.4,2,0.649006,play,0.7000000000000001,1200.0,0,0.96023,0.0
300,ac9e40e3f8528fa8a1638d28b4aa6f0e870fa3c4e0f1814e27be8debdd348958,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.025086,0.8,1,0.275269,stop,0.7000000000000001,1200.0,0,0.455486,0.0
301,50d2ef31ae8ef096f1e6ba4228819bdfdaa59f46fba7ea36c9b8f87a93995d9c,pausa,0.335667,True,0.6,0.0,0.08,0.06,-0.0,-0.0,1.0,1,-0.0,stop,0.7000000000000001,1200.0,0,-0.0,0.0
302,2dd6f3d3960624ee67a2fe9ae4a8b477669609690ad54a1f33f75b9d24fe544c,stop,0.335667,True,0.6,0.0,0.08,0.06,-0.0,0.060279,1.0,1,0.018084,stop,0.7000000000000001,1200.0,0,-0.0,0.0
303,264a00501b6fd99a06f166f64a776d13f93339f26d242050592fbd4cfc2e56e8,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.142663,0.4,2,0.642914,pausa,0.7000000000000001,1200.0,0,0.96023,0.0
304,527906d9b3faa51f4dbddc0f0edf56ecd8060a0130fec27fd1ae36b31018fe83,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.152485,0.6,2,0.432046,play,0.7000000000000001,1200.0,0,0.612602,0.0
305,786c1dd04bcd435ff7f95195a5f075662a45dfd80a465d988e7b86ebd4871a59,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.139656,0.4,2,0.642012,pausa,0.7000000000000001,1200.0,0,0.96023,0.0
306,af4f5c14edaf2e8b4341ba31b4aa0b79c7cec24729dc58f4352fd2a24fb27eaa,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.004905,0.8,1,0.269214,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
