method,trial,state,objective_cv,duration_s,pruned,param_mode,param_w_base,param_w_risk,param_w_p_stop,param_w_uncertainty,param_w_rag_gap,param_w_fuzzy_stop,param_threshold_stop,param_threshold_pausa,param_risk_stop_floor,param_p_stop_floor,param_stop_cost_threshold,param_pause_uncertainty
bayes,42,TrialState.COMPLETE,0.7618216943521597,0.058573,False,stop_heavy,0.42784399806140677,0.15787216298120085,0.13698663334693412,0.10581419849638277,0.10552569690403948,0.16871362788504418,0.6599999999999999,0.24000000000000002,0.4,0.56,0.44,0.36
bayes,43,TrialState.COMPLETE,0.7739338268635729,0.055786,False,stop_heavy,0.4078646022172539,0.17946240161863725,0.09234357185540717,0.1341647328675628,0.09557276066528203,0.20733951834489056,0.7,0.2,0.44000000000000006,0.6,0.48,0.39999999999999997
bayes,44,TrialState.COMPLETE,0.7759873245274486,0.056743,False,stop_heavy,0.39923252416729604,0.17786942342178375,0.10164133558315833,0.1342260226225375,0.09305970021277428,0.1237664514983969,0.7,0.2,0.44000000000000006,0.6,0.48,0.38
bayes,45,TrialState.PRUNED,0.5610387205387206,0.031581,True,balanced,0.44097409518640374,0.17666908934186015,0.09327438396075927,0.13682321696051994,0.09004334711711033,0.12432837526756094,0.72,0.54,0.44000000000000006,0.6,0.5,0.38
bayes,46,TrialState.COMPLETE,0.7681876637619208,0.060223,False,stop_heavy,0.4077592651322446,0.1310817075270185,0.09046115615993988,0.12226486189648292,0.08278065146473028,0.11373033159784401,0.7,0.2,0.16,0.6,0.45999999999999996,0.36
bayes,47,TrialState.PRUNED,0.6598841750841752,0.031867,True,stop_heavy,0.37564017732060745,0.12057454147307513,0.10690980387158493,0.13322535240654446,0.09282855640521472,0.14266228699746555,0.74,0.46,0.48,0.64,0.48,0.38
bayes,48,TrialState.COMPLETE,0.7485694862394202,0.056807,False,stop_heavy,0.39603375632418236,0.17791103130489413,0.11579048837911224,0.09322429842613028,0.09745069235727938,0.09450646497809753,0.7,0.26,0.44000000000000006,0.6,0.54,0.42
bayes,49,TrialState.COMPLETE,0.7602262872564994,0.057648,False,stop_heavy,0.42172780400323184,0.15936546600183163,0.2153517339802079,0.15836850192413257,0.054476010879240255,0.11992185048303845,0.74,0.22,0.4,0.6,0.52,0.38
bayes,50,TrialState.PRUNED,0.6158486841909523,0.031432,True,balanced,0.43699982035761925,0.24960080828967673,0.08796279125515896,0.13970993522693434,0.08238546969703474,0.1355795149031803,0.72,0.28,0.48,0.64,0.5,0.39999999999999997
bayes,51,TrialState.COMPLETE,0.7750640058740736,0.057995,False,stop_heavy,0.3347866312951478,0.19958538462657288,0.10004017017387232,0.14486124491602495,0.020213244255809427,0.21184890852703786,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,52,TrialState.COMPLETE,0.7739338268635729,0.056149,False,stop_heavy,0.39955004983938475,0.2071566282945763,0.1031773889077007,0.10885133981252243,0.03112556787070135,0.20661718556691275,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,53,TrialState.COMPLETE,0.7734647944702422,0.061149,False,stop_heavy,0.40000313479141625,0.22296230972887984,0.10369323369288985,0.14279439083810583,0.021147045214978153,0.20871235201528565,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,54,TrialState.PRUNED,0.8521410164437035,0.045454,True,stop_heavy,0.33505378067752295,0.20484677389336511,0.0966968973711164,0.10845814281218184,0.03326614115015407,0.21119097003471177,0.7,0.24000000000000002,0.44000000000000006,0.56,0.45999999999999996,0.42
bayes,55,TrialState.COMPLETE,0.7750632009055639,0.057416,False,stop_heavy,0.37711632533858713,0.1802995544714426,0.08905893882648923,0.15505111705006783,0.0454578959183801,0.21968214987955384,0.6799999999999999,0.2,0.48,0.56,0.48,0.36
bayes,56,TrialState.COMPLETE,0.7618216943521597,0.061001,False,stop_heavy,0.37598619458672544,0.16974635065423055,0.08229312067208287,0.16613731538485485,0.041471345325239245,0.213985585595739,0.64,0.24000000000000002,0.48,0.6,0.45999999999999996,0.36
bayes,57,TrialState.COMPLETE,0.7630649086556763,0.056646,False,stop_heavy,0.3028445540665584,0.17548050754279762,0.08698917413102132,0.1568416407945409,0.041675334453123554,0.2173897838940231,0.6599999999999999,0.2,0.48,0.52,0.5,0.36
bayes,58,TrialState.COMPLETE,0.7734647944702422,0.056739,False,stop_heavy,0.3401017837587523,0.1797776840990848,0.09626934127004859,0.13400217318760294,0.02314957842122452,0.1064631476578915,0.7,0.22,0.48,0.52,0.48,0.36
bayes,59,TrialState.PRUNED,0.8413974089068826,0.042388,True,stop_heavy,0.3847121104063977,0.20064850867287604,0.11145603592073362,0.1566817806510124,0.049492894098999096,0.21760622285726858,0.72,0.26,0.44000000000000006,0.56,0.44,0.38
bayes,60,TrialState.COMPLETE,0.7444359838995187,0.057502,False,stop_heavy,0.3632562200945108,0.2695082460761843,0.08830047453495257,0.14450039426110897,0.06830432368096606,0.19194123719127945,0.6799999999999999,0.24000000000000002,0.44000000000000006,0.6,0.48,0.42
bayes,61,TrialState.COMPLETE,0.7759873245274486,0.056654,False,stop_heavy,0.41722010778513613,0.2125216175790433,0.10120487046006026,0.07414229928712443,0.027381281049610576,0.2040242173860638,0.6799999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,62,TrialState.COMPLETE,0.7681876637619208,0.05758,False,stop_heavy,0.4179218076527493,0.21301096469751157,0.10186369061481441,0.0665763710737215,0.02764591723123272,0.1998320016119148,0.6599999999999999,0.2,0.48,0.56,0.45999999999999996,0.39999999999999997
bayes,63,TrialState.COMPLETE,0.7734647944702422,0.058082,False,stop_heavy,0.4141716078133226,0.18434216535779943,0.1077950993956335,0.07850650574115528,0.03780065827600975,0.21137438954949336,0.7,0.22,0.44000000000000006,0.56,0.48,0.38
bayes,64,TrialState.COMPLETE,0.763691592525241,0.056439,False,stop_heavy,0.4453926294684143,0.2313343443048637,0.08089259126317061,0.08572630487399131,0.028780105332796294,0.187655539719074,0.64,0.2,0.48,0.52,0.5,0.42
bayes,65,TrialState.PRUNED,0.8521410164437035,0.042211,True,stop_heavy,0.38047389629742207,0.164012503653462,0.12159223739778693,0.055883671854616235,0.0372377755973386,0.21873856978002093,0.6799999999999999,0.24000000000000002,0.4,0.56,0.45999999999999996,0.44
bayes,66,TrialState.COMPLETE,0.7566993750234399,0.056224,False,stop_heavy,0.3603889323703517,0.19625197345138415,0.09805966644371311,0.16940617741635008,0.1057016538774142,0.20603728182290437,0.7,0.22,0.44000000000000006,0.6,0.5,0.39999999999999997
bayes,67,TrialState.PRUNED,0.5904256056750714,0.033189,True,stop_heavy,0.3944693042947162,0.22143927822294707,0.0918792705994359,0.06909558546004878,0.02336372732331956,0.2042314594406579,0.6599999999999999,0.56,0.44000000000000006,0.64,0.48,0.36
bayes,68,TrialState.PRUNED,0.8844282615629986,0.04313,True,stop_heavy,0.30701125874940405,0.246681614552669,0.11056587171726862,0.1521934148330493,0.05613756851191895,0.1974996938500221,0.64,0.2,0.4,0.52,0.45999999999999996,0.38
