query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
74,86d613d07a9c70b52e6fa910c10d890a9032cbc39f7203d194d1bf634c3e3a24,stop,0.9709505944546686,-2.220446049250313e-16,1.0000000000000002,0,2,3,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
75,7ff06f43bcb2b2b1d4086364e4dd8721a010276af13a471d5254dd9783b34e2a,pausa,-0.0,0.050623470953156335,0.9493765290468437,5,0,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
76,46d2787e16d9dcec0163edfc1a78c9d61df6a20402cf7e9686d5c3b0077a76fc,pausa,1.3709505944546687,0.23314567792629964,0.7668543220737003,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
77,1225cafdf86e0b337c0935ab1907ce1f91d502b5f13583ec6cd663c45162990b,pausa,1.3709505944546687,0.18241890451352197,0.817581095486478,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
78,3c5d8a2cd4703870cfc24a9696030c3ffcb76408bb376876c853826bccd70aaa,pausa,0.9709505944546686,0.26167405017723366,0.7383259498227664,3,0,2,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
79,40c1cce09cf60873e27dfd774ce5892f8a7ba8d8d80aa0d912a82cece5d7d38c,pausa,1.3709505944546687,0.20789265726395537,0.7921073427360447,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
80,627ca699ecd62b4a09c75dafca846eba19509b116957710a69583e483bc3780c,play,1.5219280948873621,0.01833039044374285,0.9816696095562572,1,2,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
81,38d12e296a24b749c33d9544d253fa8e79d98f101dc35cbd62da03612bd31c38,play,1.3709505944546687,0.29648681599716514,0.7035131840028349,1,1,3,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
82,cb51982b2ce2acc1fdea8bae05c71dc58cbd6c63452f00098474b4d34b11be67,pausa,0.7219280948873623,0.0898861845788235,0.9101138154211765,0,4,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
83,f5faa99ec298100abfc834d79689776b7a3267c4f929c8b1fdc6da5148f71a5a,pausa,1.3709505944546687,0.14095500401874017,0.8590449959812598,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
